,Name,MC_USD_Billion,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
0,JPMorgan Chase,432.92,354.99,402.62,35910.71
1,Bank of America,231.52,189.85,215.31,19204.58
2,Industrial and Commercial Bank of China,194.56,159.54,180.94,16138.75
3,Agricultural Bank of China,160.68,131.76,149.43,13328.41
4,HDFC Bank,157.91,129.49,146.86,13098.63
5,Wells Fargo,155.87,127.81,144.96,12929.42
6,HSBC Holdings PLC,148.9,122.1,138.48,12351.26
7,Morgan Stanley,140.83,115.48,130.97,11681.85
8,China Construction Bank,139.82,114.65,130.03,11598.07
9,Bank of China,136.81,112.18,127.23,11348.39
